Text,Class
 cuestionari modul activ permit primer fas present pregunt alumn segund fas ver analiz result respuest introduc alumn  ,cuestionarios
 fas prepar trabaj principal dos pagin edit ajust  edit cuestionari  aunqu utili rest element señal  ,cuestionarios
 formulari pagin edit ajust  configur funcion cuestionari formulari escog opcion ajust final cuestionari prueb evalu activ revision autoevalu establec plaz duracion ejecu intent permit acces retroaliment etc formulari acced cre nuev cuestionari aunqu pued acced dentr menu  ,cuestionarios
 element excepcion grup excepcion usuari  permit modific grup usuari determin restriccion temporal establec conjunt particip aul ,cuestionarios
 cuadr dialog pagin edit cuestionari  seleccion pregunt organiz pagin lug podran añad pregunt aleatori ,cuestionarios
 element vist previ ofrec previsualiz cuestionari   ,cuestionarios
 elabor cuestionari  configur funcion edit ajust ,cuestionarios
 cre cuestionari nuev activ edicion puls añad activ recurs  seccion correspondient continu seleccion cuestionari  puls agreg acced prim lug formulari edit ajust  ,cuestionarios
 si cuestionari cre anterior abrir menu despleg pagin principal cuestionari puls edit ajust  ,cuestionarios
 temporaliz ,cuestionarios
 apart permit establec plaz temporal realiz cuestionari  tiemp permit realiz mism  opcion deshabilit defect uso habitual quier restring alumn acces respuest correct  ,cuestionarios
 pued eleg com gestion cuestionari envi pendient conclu tiemp establec  si mantien opcion marc defect envi realiz form automat agot tiemp opcion siempr buen permit  unic intent pued desactiv envi automat permit plaz graci  no desactivlo complet  ,cuestionarios
 calif ,cuestionarios
 apart encuentr distint opcion relacion calif destac opcion limit numer intent fundamental configur prueb evalu  ,cuestionarios
 menu despleg permit seleccion categor libr calif añad not cuestionari inform manual libr calif  ,cuestionarios
 establec calif aprob pued ten dos aplic part color not libr calif color verd roj funcion super no cifr establec part marc umbral permit utiliz criteri requer calif aprobatori condicion apart finaliz activ inform manual herramient seguimient restriccion acces insigni  ,cuestionarios
 opcion permit limit intent realiz envi cuestionari intent no agot ilimit alumn opcion realiz nuev intent despues cad envi  ,cuestionarios
 cas intent opcion permit especific com calcul not final calif alta promedi prim intent ultim intent ,cuestionarios
 ademas opcion conten apart configur relacion puntuacion configur cad pregunt edicion cuestionari ver apart  seleccion pregunts pagin mostr pregunts azar ,cuestionarios
 esquem ,cuestionarios
 apart menu despleg pagin nuev  pued eleg numer pregunt van mostr pagin tard formulari edit cuestionari podr especific mayor precision pregunt inclu cad pagin  ,cuestionarios
 part menu metod naveg permit eleg opcion libr secuencial ultim pued ser usad fij itinerari aprendizaj cas uso didact cuestionari limit opcion compart respuest pregunt uso cuestionari prueb evalu  ,cuestionarios
 comport pregunt ,cuestionarios
 apart fundamental defin si cuestionari prueb evalu autoevalu orient practic revision conten ver opcion menu despleg  asoci camp comport pregunt   ,cuestionarios
 prim lug camp orden azar respuest  marc defect mostr desord respuest pregunt opcion multipl siempr no establec contrari configur especif pregunt ver apart  baraj respuest numer opcion ,cuestionarios
 continu aparec camp comport pregunt  cuy menu despleg pued vers imag   ,cuestionarios
 part exam prueb evalu cont opcion retroaliment difer opcion aparec defect cre nuev cuestionari no permit exist ningun tip retroaliment orient alumn respuest correct intent permit acced inform despues intent pospon acces calif retroaliment respuest correct necesari modific configur apart opcion revision ver ejempl configur exam apart  ejempl configur exam  ,cuestionarios
 part cont opcion adapt cuestionari orient practic revision   ,cuestionarios
 mod adapt mod adapt sin penaliz  permit realiz intent suces mism pregunt sin neces pas siguient pregunt     ,cuestionarios
 interact vari intent  mod adapt permit realiz vari intent mism pregunt sin pas siguient aunqu cas numer intent cad pregunt vien defin numer pist ver apart  multipl intent penaliz cad intent incorrect intent correspondient pregunts independient intent especific cuestionari edit ajust  calif ver apart  ,cuestionarios
 retroaliment inmediat  simil mod interact vari intent cuant alumn pued envi respuest inmediatmente intent exam ser calific sin embarg sol pued envi respuest no podr cambi continu ,cuestionarios
 ademas exist opcion usar calif manual tip calif pued aplic cuestionari pregunt habitual calific form automat pref hac calif manual aplic defect pregunt tip ensay sin vari configur global cuestionari inclu pregunt  ,cuestionarios
 import reten si aplic calif manual no podr revert aplicr tip calif automat vez alumn envi respuest  ,cuestionarios
 final pod usar metod evalu bas certidumbr cbm sigl ingles certainty bas marking dos version retroaliment difer retroaliment inmediat tip evalu deb precis ademas respuest correct nivel certez relat respuest escal tres nivel not final ver ponder funcion certidumbr maner respuest correct maxim certidumbr obtendr puntuacion complet puntuacion mism respuest reduc si marc nivel certidumbr menor  ,cuestionarios
 opcion revision ,cuestionarios
 apart permit control acces alumn pist retroaliment calif asoci pregunt conjunt cuestionari cuatr fas disting imag continu muestr opcion aparec marc defect sin hab modific ningun valor apart rest aparts conjunt formulari  ,cuestionarios
 descripcion fas ,cuestionarios
 cuand pod desmarc casill ,cuestionarios
  ,cuestionarios
 intent refier moment respond pregunt casill desactiv retroaliment difer comport pregunt    ,cuestionarios
 men casill si correct fas deb marc mod adapt interact multipl intent ,cuestionarios
  ,cuestionarios
 inmediat despues intent refier dos primer minut despues puls envi termin ,cuestionarios
 tod casill fas pued desmarc configur tip exam  ,cuestionarios
  ,cuestionarios
 tard cuestionari aun abiert dec cumpl fech cierr cuestionari si fech establec ,cuestionarios
 tod casill fas pued desmarc configur tip exam aunqu si no establec fech cierr alumn no acced nunc inform ,cuestionarios
  ,cuestionarios
 despues cerr cuestionari  ,cuestionarios
 casill desactiv si no establec fech cierr ver apart  temporaliz ,cuestionarios
 tod casill fas pued desmarc configur tip exam casill punt pued desmarcse temporal marc alumn pued ver calif libr calif  ,cuestionarios
 aparient ,cuestionarios
 opcion mostr imag usuari  permit imag perfil usuari identific muestr pagin cuestionari objet comprob ident realiz cuestionari coincid usuari identific  ,cuestionarios
 opcion decimal calif  decimal calif pregunt  permit establec form especif valor   ,cuestionarios
 mostr bloqu intent  refier bloqu curs calendari activ recient   ,cuestionarios
 restriccion extra intent ,cuestionarios
 opcion permit añad restriccion acces cuestionari utiliz contraseñ  establec rang ip direccion red  pued utiliz cuestionari realiz form presencial sal orden opcion   permit establec demor intent opcion segur naveg  permit cuestionari abra ventan emergent pantall complet sistem no asegur no pued acced ventans naveges final opcion  impid defect realizcion cuestionaris aplic movil aunqu sig siempr posibl cuestionari realic usand naveg disposit movil  ,cuestionarios
 opcion   marc avanz punt exclam lad icon ayud ocult formulari pued despleg colaps puls ver ver men   ,cuestionarios
 retroaliment global ,cuestionarios
 retroaliment global cons text alumn leer vez complet intent funcion calif obten ,cuestionarios
 comentari   mostr funcion calif obten  pued establec nivel intermedi   ,cuestionarios
 finaliz activ ,cuestionarios
 camp finaliz activ sol aparec formulari edit ajust rastre finaliz activ panel gestion  edit configur curs  ,cuestionarios
 pod establec condicion dispon activ cuestionari  necesari marc despleg rastre finaliz  opcion mostr activ complet cumpl condicion aparec destac roj condicion especif requer calif aprobatori  ver apart  calif intent dispon complet  ,cuestionarios
 ultim apart formulari necesari guard cambi aplic   ,cuestionarios
 elabor cuestionari  excepcion usuari grup ,cuestionarios
 menu despleg administr cuestionari encontr element excepcion grup excepcion usuari opcion permit modific grup  usuari  determin restriccion temporal establec conjunt particip aul  ,cuestionarios
 imag siguient muestr opcion agreg excepcion grup  necesari establec grups previ curs ver manual grups agrup ,cuestionarios
 siguient imag muestr formulari establec excepcion camp reemplaz grup permit eleg grup otorg excepcion  camp requier contraseñ permit establec contraseñ grup  recuadr destac roj  pued ver modif pued realiz restriccion temporal cuestionari  ,cuestionarios
 vez establec excepcion qued registr siguient list ,cuestionarios
 mism modif pued aplic usuari especif  ,cuestionarios
 mensaj advertent aparec alumn especific excepcion no pued acced cuestionari  ,cuestionarios
 razon advertent pued ser  ,cuestionarios
 acces cuestionari condicion pertenent grup no form part estudi ,cuestionarios
 cuestionari ocult alumn ,cuestionarios
 elabor cuestionari  añad pregunt edit cuestionari ,cuestionarios
 seleccion pregunt pagin mostr pregunt azar ,cuestionarios
 vez prepar funcion cuestionari vam defin pregunt vam inclu mism ello puls edit cuestionari  carg pregunt cuestionari acces edit cuestionari pued encontr menu despleg   ,cuestionarios
 pagin edicion puls agreg  despleg opcion carg pregunt cuestionari pregunt nuev banc pregunt pregunt aleatori  ,cuestionarios
 casill reorden pregunt azar  opcion edit cabecer  dispon formulari ,cuestionarios
 expuest apart  banc pregunt cuestionari curs convenient manten organiz bat pregunt categor dentr banc pregunt motiv cre pregunt usand opcion agreg  pregunt nuev recomend prest atencion categor credo  ,cuestionarios
 puls agreg  banc pregunt acced vist banc pregunt permit desplaz categor  seleccion pregunt   ,cuestionarios
 import pregunt pagin edit cuestionari permit mov orden pregunt  unir separ pagins  modific puntuacion pregunt  ,cuestionarios
 cand  permit condicion acces pregunt realiz pregunt anterior sol dispon  ,cuestionarios
 comport pregunt interact intent multipl retroaliment inmediat  ,cuestionarios
 metod naveg configur libr  ,cuestionarios
 opcion reorden pregunt azar desactiv ,cuestionarios
 añad pregunt aleatori ,cuestionarios
 puls agreg  pregunt aleatori muestr cuadr dialog permit seleccion categor  especific numer pregunts  indic numer pregunts categor   ,cuestionarios
 previsualiz cuestionari ,cuestionarios
 finaliz edicion cuestionari aparec opcion previsualiz cuestionari ahor  opcion siempr dispon element vist previ  menu despleg ,cuestionarios
 realiz vist previ rol docent aparec siempr independient opcion revision seleccion pagin revision cuestionari inform respuest correct calif retroaliment alumn sol acces revision casill correspondient apart opcion revision  inmediat despues cad intent marcads  ,cuestionarios
 ejempl configur exam ,cuestionarios
 apart recog resum opcion recomend uso cuestionari situacion exam objet configur  ,cuestionarios
 acot acces pregunt franj horari duracion determin ,cuestionarios
 establec naveg secuencial pregunt desorden respuest baraj azar punt deb valor si configur no afect capac alumn revis adecu exam   ,cuestionarios
 uso pregunt aleatori si procedent pregunt calcul valor numer comodin vari form aleatori  ,cuestionarios
 retroaliment respuest correct calif general ocult finaliz prueb inclus form permanent  ,cuestionarios
 element part elabor pregunt ejempl respuest pregunt opcion multipl cualqui tip present vari opcion baraj defect ver apart  baraj respuest numer opcion import manten buen organiz pregunt categor subcategor uso pregunt aleatori sincroniz pregunt calcul ,cuestionarios
 opcion import edit ajust ,cuestionarios
 duracion franj horari qued especific apart temporaliz  no necesari ten cuestionari ocult dad alumn no pued acced pregunt part dad sol intent opcion envi realiz automat agot tiemp adecu  ,cuestionarios
 apart calif  intent permit especif  intent  ,cuestionarios
 marc opcion secuencial  metod naveg siempr consider opcion no impid alumn realiz revision exam form adecu  ,cuestionarios
 apart comport pregunt manten opcion aparec defect  ,cuestionarios
 apart opcion revision unic element necesari calif aparezc libr calif casill punt column despues cerr cuestionari casill pued marc posterior despues revis calif cuestionari  ,cuestionarios
 finaliz configur edit cuestionari ,cuestionarios
 finaliz especific opcion formulari edit ajust pas formulari edit cuestionari podr usar opcion utiliz pregunt aleatori  reorden pregunt azar  ,cuestionarios
 consult result retroaliment ,cuestionarios
 recalific ,cuestionarios
 anul pregunt ,cuestionarios
 reutiliz cuestionari pregunt ,cuestionarios
 duplic cuestionari dentr curs ,cuestionarios
 import cuestionari curs ,cuestionarios
 import  export pregunt banc pregunt ,cuestionarios
 import export archiv pregunt utiliz correspondient enlac bloqu administr ,cuestionarios
 campus virtual recomend format admit import export archiv fomat gift moodl xml unic pod encontr ambas categor ,cuestionarios
 proces export import pregunt siguient ,cuestionarios
 acced curs pregunt quer utiliz curs ,cuestionarios
 pagin principal curs clic bloqu activ enlac cuestionari proced edit cuestionari quer export pregunt archiv ver pagin siguient ,cuestionarios
 imag  bloqu activ ,cuestionarios
 clic enlac export ,cuestionarios
 imag  administr cuestionari export ,cuestionarios
 abrir siguient pagin ver imag  ,cuestionarios
 eleg format gift  moodl xml ayud pod ver format adapt mejor neces explic val cad ,cuestionarios
 b seleccion mediant pestañ despleg categor encuentr pregunt quer export ,cuestionarios
 c marc casill escrib categor archiv escrib context archiv ,cuestionarios
 d vez hech anterior pinch export pregunt archiv ,cuestionarios
 imag  export pregunt  ,cuestionarios
 imag siguient ofrec opcion descarg seleccion guard archiv trat archiv intercambi inform format xml dec archiv codig prepar lean maquin no person ,cuestionarios
 imag   opcion descarg archiv pregunt export ,cuestionarios
 aplic dar nombr descript archiv si quer cambi eleg opcion guard ,cuestionarios
 vez archiv pregunt pod realiz import pregunt situ curs quer dispon pregunt puls enlac import ,cuestionarios
 imag  administr banc pregunt import ,cuestionarios
 abre siguient pagin ver imag  ,cuestionarios
 eleg format realiz export archiv vam import ,cuestionarios
 clic encim pestañ general aparezc tod posibl opcion  ,cuestionarios
 seleccion mediant pestañ despleg categor quer import pregunt ,cuestionarios
  marc casill obten categor archiv obten context archiv ,cuestionarios
  opcion coincid calif marc casill error si calif no list ,cuestionarios
  opcion deten si produc error marc no ,cuestionarios
 apart import pregunt archiv bien puls boton seleccion archiv…   sub archiv examinar…  dentr orden eleg archiv export anterior pinch sub archiv bien si naveg permit arrastr direct archiv export anterior cuadr apart import pregunt archiven cas ie deb ten version igual superior  ,cuestionarios
 puls boton import ,cuestionarios
 imag  import archiv ,cuestionarios
 imag  import archiv opcion menu general ,cuestionarios
  aparec pantall text proces pregunt archiv import tod pregunt import list ,cuestionarios
  clic boton continu aparec debaj pregunt nuev curs ,cuestionarios
 imag  import pregunt ,cuestionarios
 met pregunt cuestionari quer sol ir cuestionari eleg pregunt interes banc pregunt import ,cuestionarios
 imag  edit cuestionari añad pregunt ,cuestionarios
 form proced si recuper cuestionari vem no aparec pregunt banc pregunt hab asoci cuestionari vez categor tal explic pagin  document cualqui cas quer import pregunt banc pregunt ,cuestionarios
 corre daniel  ,cuestionarios
 explic com redact format admit format gift escrib cualqui tip pregunt tip test inclu comentari  puntuacion parcial  numer  respuest cort etc ,cuestionarios
 bastant bien ,cuestionarios
  ,cuestionarios
  ,cuestionarios
 gork ,cuestionarios
   ,cuestionarios
  ,cuestionarios
 gestion recurs egel moodl  ,cuestionarios
 cre sal virtual conect egel  egelpi ,videoconferencia
 pued cre sal virtual conect egel  egelpi ,videoconferencia
 solicit aul virtual ,videoconferencia
 pued solicit creacion aul virtual ,videoconferencia
 configur sal virtual egel egelpi egel pi ,videoconferencia
 cre sal blackboard bbc ,videoconferencia
 acced sal egel egel pi ,videoconferencia
 unirs sesion blackboard ,videoconferencia
 unirs sesion bbc ,videoconferencia
 creacion sal virtual no conect egel egelpi ,videoconferencia
 no vincul egel ,videoconferencia
 entrar sal virtual blackboard ,videoconferencia
 entrar sal bbc ,videoconferencia
 compatibil naveg sistem oper ,videoconferencia
 compatibil sistem oper ,videoconferencia
 ajust perifer ,videoconferencia
 comprob sal audi local ,videoconferencia
 compart microfon ,videoconferencia
 compart cam ,videoconferencia
 ajust audi vide ,videoconferencia
 ajust vide ,videoconferencia
 ajust audi ,videoconferencia
 ajust audi vide ,videoconferencia
 tutorial blackboard ,videoconferencia
 rol sal virtual ,videoconferencia
 rol blackboard ,videoconferencia
 rol moder ,videoconferencia
 rol present ,videoconferencia
 rol particip ,videoconferencia
 present conten ,videoconferencia
 gestion sal ,videoconferencia
 funcion panel lateral ,videoconferencia
 inici grabacion ,videoconferencia
 deten grabacion ,videoconferencia
 cerr sesion ,videoconferencia
 permis sal ,videoconferencia
 compart conten  ,videoconferencia
 compart pizarr blanc ,videoconferencia
 ajust notificacion ,videoconferencia
 ajust sesion ,videoconferencia
 ajust sal ,videoconferencia
 compart aplic  pantall ,videoconferencia
 compart aplic ,videoconferencia
 compart pantall ,videoconferencia
 compart archiv ,videoconferencia
 asistent sal ,videoconferencia
 convert usuari present ,videoconferencia
 ver informacion cad asistent ,videoconferencia
 uso chat bbc ,videoconferencia
 dinamiz iteraccion sal ,videoconferencia
 ver ,videoconferencia
 ver ajust ,videoconferencia
 ver usuari ,videoconferencia
 control baj audi vide ,videoconferencia
 levant man ,videoconferencia
 levant man habl ,videoconferencia
 grabacion ,videoconferencia
 grab clas bbc ,videoconferencia
 deten grabacion bbc ,videoconferencia
 sub grabacion egel ,videoconferencia
 elimin grabacion ,videoconferencia
 repositori vide ehutb ,videoconferencia
 ehubox ,videoconferencia
 almacen nuv ehubox ,videoconferencia
 banc pregunt cuestionari curs ,cuestionarios
 tip cuestionari ,cuestionarios
 diferent banc pregunt cuestionari ,cuestionarios
 pas cre cuestionari ,cuestionarios
 pas cre banc pregunt ,cuestionarios
 organiz pregunt banc pregunt ,cuestionarios
 cre banc pregunt ,cuestionarios
 cre categori ,cuestionarios
 aplic categori subcategori ,cuestionarios
 cre pregunt ,cuestionarios
 tip pregunt ,cuestionarios
 aspect general creacion pregunt ,cuestionarios
 editor gradic pregunt respuest ,cuestionarios
 baraj pregunt ,cuestionarios
 baraj respuest ,cuestionarios
 numer opcion respuest ,cuestionarios
 retroalimentacion cuestionari ,cuestionarios
 admit multipl intent ,cuestionarios
 penaliz intent fall ,cuestionarios
 penaliz cad intent incorrect ,cuestionarios
 pregunt verdader fals ,cuestionarios
 pregunt opcion multipl ,cuestionarios
 pregunt respuest cort ,cuestionarios
 pregunt numer ,cuestionarios
 pregunt emparej ,cuestionarios
 pregunt arrastr solt ,cuestionarios
 elaboracion cuestionari ,cuestionarios
 organiz herramient ,cuestionarios
 elaboracion cuestionari ,cuestionarios
 configur funcion edit ajust ,cuestionarios
 edit ajust ,cuestionarios
 temporalizacion ,cuestionarios
 calificacion ,cuestionarios
 esquem ,cuestionarios
 comport pregunt ,cuestionarios
 opcion revision ,cuestionarios
 aparient ,cuestionarios
 restriccion extra intent ,cuestionarios
 retroalimentacion global ,cuestionarios
 finalizacion activ ,cuestionarios
 elaboracion cuestionari ,cuestionarios
 excepcion usuari ,cuestionarios
 excepcion grup ,cuestionarios
 edit restriccion temporal establec particip ,cuestionarios
 añad excepcion ,cuestionarios
 añad fech apertur cuestionari ,cuestionarios
 añad fech cerr cuestionari ,cuestionarios
 añad limit tiemp cuestionari ,cuestionarios
 añad intent permit cuestionari ,cuestionarios
 elaboracion cuestionari ,cuestionarios
 añad pregunt edit cuestionari ,cuestionarios
 seleccion pregunt  ,cuestionarios
 paginacion ,cuestionarios
 mostr pregunt azar ,cuestionarios
 edit cuestionari ,cuestionarios
 agreg nuev pregunt ,cuestionarios
 agreg banc pregunt ,cuestionarios
 previsualiz cuestionari ,cuestionarios
 añad pregunt aleatori ,cuestionarios
 ejempl configuracion exam ,cuestionarios
 configuracion exam ,cuestionarios
 deberi configur cuestionari exam ,cuestionarios
 import pregunt cuestionari format xml ,cuestionarios
 export pregunt cuestionari ,cuestionarios
 export pregunt format xml ,cuestionarios
 format pued import export pregunt ,cuestionarios
 import automat pregunt cuestionari ,cuestionarios
